  -8.0081145e+01  -6.2738865e+02  -6.7314370e+02   3.4488444e+03
   8.8265704e+02   3.8815291e+01  -2.5488586e+02   2.4780376e+03
   2.7695130e-02   4.8698865e-01  -8.7296909e-01   1.1015728e+01
  -7.7889847e+01  -6.9928323e+02  -2.7303381e+02   2.3591504e+03
   6.8481779e+02  -7.3377041e+01  -2.7718220e+02   2.1818431e+03
  -3.5720160e-02  -1.4143240e-02  -9.9926175e-01   9.1604548e+00
   2.9499509e+01  -8.1957882e+02  -6.6822632e+00   2.6173230e+03
   7.9729721e+02  -5.5395748e+01  -7.9548959e+01   1.9665724e+03
   1.8145381e-01  -3.3908446e-01  -9.2309059e-01   9.6725615e+00
  -6.7445407e+01  -8.7293205e+02   2.2011408e+02   3.6714650e+03
   7.1845119e+02  -2.4279656e+02  -3.9390572e+02   2.3274582e+03
  -3.1603210e-01  -5.7903790e-01  -7.5155760e-01   1.0580956e+01
