  -1.1646466e-04   1.1299100e-03  -2.4010085e-01
  -9.8532477e-04  -1.1428254e-04   7.9314854e-01
  -5.5336149e-04  -2.7906252e-05  -7.1067269e-01
  -1.4236513e-04   1.4254549e-03  -3.5650341e-01
  -1.4240350e-03  -1.3965110e-04   4.2783435e-01
   2.5244410e-05  -4.8978515e-05  -9.9405047e-01
  -4.1027504e-05   1.2808079e-03  -1.1007888e-01
  -1.2252194e-03   4.4180313e-05   5.0620607e-03
   4.4200240e-04   2.3554201e-04  -1.1068152e+00
   6.6546374e-05   1.1431507e-03  -5.7965724e-01
  -9.6942851e-04  -1.7544877e-04  -1.9196744e-01
   7.1891371e-04  -3.4552351e-04  -9.3892110e-01
